goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
2,1,0,6,46.15,0,0.0,1,50.0,2,0,57.14,6,35.29,90,3,4,2,2,0,0,0,2,0,0,0,0,0,2,0,8,0,0,0.0,0,0.0,0,1,0,1,3,3,0,66.67,0,0,0.33,0,0,0,Bachir Gueye,Antalyaspor,2266453,3056
0,1,0,1,100.0,1,100.0,0,0.0,0,0,71.19,2,100.0,180,1,0,0,2,9,7,2,1,0,1,0,1,0,1,0,42,0,0,0.0,8,33.33,0,2,0,0,0,0,0,0.0,0,0,,0,0,0,Tarık Çetin,Fenerbahçe,913985,3052
0,0,0,0,0.0,0,0.0,0,0.0,0,0,70.59,0,0.0,90,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,24,0,0,0.0,3,23.08,0,0,0,0,0,0,0,0.0,0,0,,0,0,0,Deniz Dilmen,Başakşehir FK,1065508,3086
8,1,0,22,37.29,1,50.0,9,52.94,10,5,87.65,23,37.7,1014,3,9,13,13,0,0,0,7,3,0,0,0,0,186,5,376,27,7,15.91,14,66.67,5,3,7,5,42,17,14,19.05,2,0,4.43,0,0,0,Marco Asensio,Fenerbahçe,361004,3052
3,0,0,35,50.0,2,33.33,17,51.52,9,6,87.66,37,48.68,887,9,3,11,14,0,0,0,5,0,0,0,0,0,149,6,334,23,6,33.33,9,69.23,6,2,6,6,20,7,4,15.0,0,1,3.23,0,0,0,Yunus Akgün,Galatasaray,857738,3061
4,4,0,47,58.02,16,55.17,2,50.0,13,1,77.3,63,57.27,877,34,14,7,12,0,0,0,9,1,0,0,0,0,66,2,218,14,1,14.29,13,36.11,4,22,11,0,12,5,3,33.33,0,1,0.85,0,0,0,Oğulcan Ülgün,Gençlerbirliği,1063942,7802
2,5,0,54,65.85,41,65.08,2,66.67,33,0,93.19,95,65.52,1440,19,20,3,16,0,0,0,9,4,0,0,0,0,119,0,1040,0,0,0.0,44,57.89,10,80,6,0,14,4,2,14.29,0,1,0.88,0,0,0,Milan Škriniar,Fenerbahçe,187205,3052
6,0,0,67,45.58,5,45.45,38,55.07,21,3,84.57,72,45.57,1404,8,15,24,17,0,0,0,11,0,0,0,0,0,214,10,548,29,11,22.45,14,56.0,7,2,11,6,38,11,8,15.79,0,1,5.45,0,1,0,Leroy Sané,Galatasaray,293519,3061
0,0,0,4,80.0,6,100.0,0,0.0,2,1,70.42,10,90.91,1440,4,0,0,16,57,38,19,15,3,13,10,4,11,18,2,419,2,0,0.0,90,34.48,0,14,1,0,0,0,0,0.0,0,0,,1,0,0,Muhammed Şengezer,Başakşehir FK,827418,3086
1,0,0,12,48.0,14,63.64,3,42.86,4,0,62.96,26,55.32,124,5,7,1,3,0,0,0,0,0,0,0,0,0,11,0,17,1,0,0.0,0,0.0,0,2,1,0,3,2,0,33.33,0,0,0.28,0,0,0,Emersonn,Göztepe,1128844,3054
